unique_id,ds,y
series_1,2020-01-01,112.0
series_1,2020-02-01,118.0
series_1,2020-03-01,132.0
series_1,2020-04-01,129.0
series_1,2020-05-01,121.0
series_1,2020-06-01,135.0
series_1,2020-07-01,148.0
series_1,2020-08-01,148.0
series_1,2020-09-01,136.0
series_1,2020-10-01,119.0
series_1,2020-11-01,104.0
series_1,2020-12-01,118.0
series_1,2021-01-01,115.0
series_1,2021-02-01,126.0
series_1,2021-03-01,141.0
series_1,2021-04-01,135.0
series_1,2021-05-01,125.0
series_1,2021-06-01,149.0
series_1,2021-07-01,170.0
series_1,2021-08-01,170.0
series_1,2021-09-01,158.0
series_1,2021-10-01,133.0
series_1,2021-11-01,114.0
series_1,2021-12-01,140.0
series_1,2022-01-01,145.0
series_1,2022-02-01,150.0
series_1,2022-03-01,178.0
series_1,2022-04-01,163.0
series_1,2022-05-01,172.0
series_1,2022-06-01,178.0
series_1,2022-07-01,199.0
series_1,2022-08-01,199.0
series_1,2022-09-01,184.0
series_1,2022-10-01,162.0
series_1,2022-11-01,146.0
series_1,2022-12-01,166.0
series_1,2023-01-01,171.0
series_1,2023-02-01,180.0
series_1,2023-03-01,193.0
series_1,2023-04-01,181.0
series_1,2023-05-01,183.0
series_1,2023-06-01,218.0
series_1,2023-07-01,230.0
series_1,2023-08-01,242.0
series_1,2023-09-01,209.0
series_1,2023-10-01,191.0
series_1,2023-11-01,172.0
series_1,2023-12-01,194.0
series_2,2020-01-01,420.0
series_2,2020-02-01,410.0
series_2,2020-03-01,415.0
series_2,2020-04-01,430.0
series_2,2020-05-01,460.0
series_2,2020-06-01,475.0
series_2,2020-07-01,490.0
series_2,2020-08-01,500.0
series_2,2020-09-01,480.0
series_2,2020-10-01,455.0
series_2,2020-11-01,440.0
series_2,2020-12-01,425.0
series_2,2021-01-01,435.0
series_2,2021-02-01,425.0
series_2,2021-03-01,445.0
series_2,2021-04-01,460.0
series_2,2021-05-01,490.0
series_2,2021-06-01,510.0
series_2,2021-07-01,520.0
series_2,2021-08-01,535.0
series_2,2021-09-01,515.0
series_2,2021-10-01,490.0
series_2,2021-11-01,465.0
series_2,2021-12-01,450.0
series_2,2022-01-01,470.0
series_2,2022-02-01,455.0
series_2,2022-03-01,480.0
series_2,2022-04-01,500.0
series_2,2022-05-01,525.0
series_2,2022-06-01,550.0
series_2,2022-07-01,565.0
series_2,2022-08-01,580.0
series_2,2022-09-01,555.0
series_2,2022-10-01,530.0
series_2,2022-11-01,505.0
series_2,2022-12-01,490.0
series_2,2023-01-01,510.0
series_2,2023-02-01,495.0
series_2,2023-03-01,520.0
series_2,2023-04-01,545.0
series_2,2023-05-01,570.0
series_2,2023-06-01,595.0
series_2,2023-07-01,610.0
series_2,2023-08-01,625.0
series_2,2023-09-01,600.0
series_2,2023-10-01,575.0
series_2,2023-11-01,550.0
series_2,2023-12-01,535.0
